customer_unique_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Cluster
0a0a92112bd4c708ca5fde585afaa872,334,1,13664.08,2,1,5,215,0
da122df9eeddfedc1dc1f5349a1a690c,515,2,7571.63,1,5,5,155,0
763c8b1c9c68a0229c42c9fc6f662b93,46,1,7274.88,5,3,5,535,0
dc4802a71eae9be1dd28f5d788ceb526,563,1,6929.31,1,5,5,155,0
459bef486812aa25204be022145caa62,35,1,6922.21,5,2,5,525,0
ff4159b92c40ebe40454e3e6a7c35ed6,462,1,6726.66,1,5,5,155,0
4007669dec559734d6f53e029e360987,279,1,6081.54,2,2,5,225,0
eebb5dda148d3893cdaf5b5ca3040ccb,498,1,4764.34,1,5,5,155,0
48e1ac109decbb87765a3eade6854098,69,1,4681.78,5,2,5,525,0
c8460e4251689ba205045f3ea17884a1,22,4,4655.88,5,5,5,555,0
